Deadline Date,Scholarship Name,Amount Min,Amount Max,Priority,Status,Category,Requirements,Application Link,Notes
2025-11-18,"NCWIT Aspirations in Computing",$500,$10000,MEDIUM,Not Started,"Women in STEM","Essays, Computing activities, Recommendation (optional)","https://www.aspirations.org/","Collegiate deadline Nov 18, 2025"
TBD,"Generation Google Scholarship (EMEA)",€7000,€7000,HIGH,Research Needed,"Women in STEM","Essays, Transcripts, Academic standing","https://www.google.com/about/careers/applications/buildyourfuture/scholarships/generation-google-scholarship-emea","For women in CS in Europe/Middle East/Africa + Oxford AI Certificate"
TBD,"Santander Scholarships",€1000,€2000,HIGH,Not Started,"General","Varies by program","https://app.santanderopenacademy.com/en/program/santander-scholarships-2025-26","8,447 x €1k + 1,500 x €2k scholarships - Open to all"
TBD,"UC3M Madrid Excellence Scholarships",€1000,€3000,MEDIUM,Research Needed,"University-Specific","Merit-based, Academic standing","https://www.uc3m.es/bachelor-degree/practical-information/scolarships-grants","Partial tuition coverage + health insurance for some"
TBD,"UPV Valencia - Spanish Ministry Scholarships",€500,€5000,MEDIUM,Research Needed,"University-Specific","Income-based, Academic merit","https://www.upv.es/perfiles/estudiante/introduccion-becas-en.html","Tuition + living allowance for EU students"
TBD,"UPV Valencia - Conselleria Regional Scholarships",€1000,€3000,MEDIUM,Research Needed,"University-Specific","Valencia residency required","https://www.upv.es/perfiles/estudiante/introduccion-becas-en.html","Tuition fee exemption for Valencia residents"
TBD,"University of Barcelona Scholarships",€2000,€8000,MEDIUM,Research Needed,"University-Specific","Merit-based","https://www.wemakescholars.com/university/university-of-barcelona/scholarships","4 fully funded scholarships - tuition, accommodation, living"
TBD,"UIC Barcelona International Excellence",€1000,€3000,MEDIUM,Research Needed,"University-Specific","International undergrads, Merit-based","https://www.uic.es/en/estudis/beques/international-excellence-scholarships-international-students","20% tuition coverage"
TBD,"Adobe Research Women-in-Technology Scholarship",$10000,$10000,MEDIUM,Research Needed,"Women in STEM","Essays, Transcripts, CS/Data Science/AI focus","https://www.womentech.net/how-to/adobe-research-women-in-technology-scholarship-4","$10k + 1-year Adobe Creative Cloud - US/Canada residents only"
TBD,"IBM Linda Sanford Women's Technical Scholarship",$5000,$8000,MEDIUM,Research Needed,"Women in STEM","Transcripts, Essays, CS/Engineering/Math","https://scholarships360.org/scholarships/search/ibm-linda-sanford-womens-technical-advancement-scholarship/","For reentry and non-traditional students"
TBD,"Erasmus Mundus Joint Masters - Data Science",€1400,€33600,MEDIUM,Research Needed,"Study Abroad","Bachelor's degree, Applications Oct-Jan","https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/erasmus-mundus-joint-masters","€1,400/month for EU students (24 months max) - Master's level"
TBD,"University of Passau Scholarships",€500,€2000,MEDIUM,Research Needed,"University-Specific","Academic merit","https://www.uni-passau.de/en/","Contact International Office for merit scholarships"
TBD,"Maastricht University Scholarships",€3000,€5000,MEDIUM,Research Needed,"University-Specific","OMPT-D 60%+, Academic merit","https://www.maastrichtuniversity.nl/","Holland Scholarship (non-EU only) & Merit awards"
TBD,"AnitaB.org Scholarship (Grace Hopper)",$2000,$2000,MEDIUM,Research Needed,"Women in STEM","Application, Essays","https://anitab.org/","Conference pass + travel to Grace Hopper Celebration"
TBD,"DAAD Study Scholarships (Germany)",€500,€10000,MEDIUM,Research Needed,"Country-Specific","Varies by program","https://www.daad.de/en/studying-in-germany/scholarships/daad-scholarships/","Various programs for US students studying in Germany"
TBD,"Rhode Island Foundation Scholarships",$500,$5000,MEDIUM,Research Needed,"State/Regional","Varies by scholarship","https://rifoundation.org/","Multiple RI-specific scholarships - search database"
TBD,"Barrington Rotary Club Scholarship",$1000,$5000,MEDIUM,Research Needed,"Local/Community","Application, Interview","https://www.rotary.org/en/search/club-finder","Contact local Barrington Rotary for application"
TBD,"JKU Linz Merit Scholarship (Austria)",€500,€2000,MEDIUM,Research Needed,"University-Specific","Academic merit, Strong grades","https://www.jku.at/en/","Government-funded for international students"
TBD,"FH St. Pölten Scholarships (Austria)",€500,€1500,MEDIUM,Research Needed,"University-Specific","Academic merit","https://www.fhstp.ac.at/en","Contact International Office for scholarship info"
